issue_id,comment_id,user_id,login,name,location,gender
316610337,386793771,103008,DirtyF,Frank Taillandier,"Toulouse, France",male
316610337,386797765,26132682,charlesrocket,-k,,unknown
316610337,386798166,103008,DirtyF,Frank Taillandier,"Toulouse, France",male
316610337,386798575,26132682,charlesrocket,-k,,unknown
316610337,386798905,103008,DirtyF,Frank Taillandier,"Toulouse, France",male
316610337,386799085,26132682,charlesrocket,-k,,unknown
316610337,386800657,12479464,ashmaroli,Ashwin Maroli,,male
316610337,386803866,4413018,asipple1,Andrew Sipple,"Honolulu, HI",male
316610337,386804048,12479464,ashmaroli,Ashwin Maroli,,male
316610337,386833978,4413018,asipple1,Andrew Sipple,"Honolulu, HI",male
316610337,386843679,813219,nickjj,Nick Janetakis,New York,male
316610337,386856025,12479464,ashmaroli,Ashwin Maroli,,male
316610337,387056265,1388742,shivajivarma,Shivaji Varma Pusapati Venkata,Hyderabad,male
316610337,387239592,24360355,BerkhanBerkdemir,Berkhan Berkdemir,::1,male
316610337,387647384,4006139,nkuehn,Nikolaus Kühn,Munich,male
316610337,387790643,53281,geraldb,Gerald Bauer,,male
316610337,387794045,7273074,iBug,,Arstotzka,unknown
316610337,387878154,29690918,oracaoja,Oração Já,Brasil,unknown
316610337,388162247,4627002,letrastudio,João Beleza Freire,"Lisbon, Portugal",male
316610337,388232674,7273074,iBug,,Arstotzka,unknown
316610337,388521708,6486411,jdobres,Jonathan Dobres,,male
316610337,389244841,18449360,tyler-insight,Tyler Bramer,"Green Bay, WI",male
316610337,389414999,1114146,stonewhitener,Youki Shiraishi,"Tokyo, Japan",female
316610337,389420714,39187473,techwritermat,Mateusz Wiktor,Górny Śląsk,male
316610337,389716084,163478,alzeih,Alli,,male
316610337,389749422,251545,pathawks,Pat Hawks,"West Des Moines, IA",female
316610337,389797224,12479464,ashmaroli,Ashwin Maroli,,male
316610337,389803714,163478,alzeih,Alli,,male
316610337,389805827,163478,alzeih,Alli,,male
316610337,389873052,251545,pathawks,Pat Hawks,"West Des Moines, IA",female
316610337,389876958,12479464,ashmaroli,Ashwin Maroli,,male
316610337,389986861,24360355,BerkhanBerkdemir,Berkhan Berkdemir,::1,male
316610337,390288255,24572406,cetinajero,Edgar T,México,male
316610337,391164424,421960,merlinstardust,Merlin (they/them),"Baltimore, MD",unknown
316610337,391171987,1376749,mmistakes,Michael Rose,"Buffalo, New York",male
316610337,391175752,421960,merlinstardust,Merlin (they/them),"Baltimore, MD",unknown
316610337,391220248,1534882,chrisfinazzo,Chris Finazzo,New Jersey,male
316610337,393325414,72919,cameronmcefee,Cameron McEfee,San Francisco,male
316610337,394292023,12131727,tim-bradley,Gitiot,"Perth, Western Australia",unknown
316610337,396959302,30758921,Convincible,Virgil Ierubino,"Cambridge, UK",male
316610337,397028665,6044,asierra,Alejandro Sierra,"Ciudad Universitaria, Mexico City",male
316610337,397043183,10137,ghost,Deleted user,"Nothing to see here, move along.",unknown
316610337,398275126,36896360,PsiACE,Chojan Shang,,unknown
316610337,398303328,925528,CoolRunning,Marcus Märtens,"Adelaide, Australia",male
316610337,399762508,138627,thom4parisot,Thomas Parisot,"Crest, Drôme, France",male
316610337,400253497,30758921,Convincible,Virgil Ierubino,"Cambridge, UK",male
